epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
76,5284.31,0.68671,0.52922,1.00565,0.8275,0.75021,0.79573,0.59606,1.09592,0.844,1.14795,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,5352.97,0.67843,0.5249,1.00512,0.83865,0.75163,0.79265,0.59508,1.09158,0.84126,1.14696,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,5422.23,0.68041,0.52058,1.00564,0.83475,0.75233,0.79704,0.59775,1.09619,0.84218,1.15248,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,5491.26,0.67147,0.51807,1.00194,0.82696,0.75046,0.79553,0.5961,1.09566,0.84601,1.14968,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,5559.95,0.66339,0.512,0.99574,0.81919,0.75726,0.7937,0.59615,1.08957,0.84716,1.14692,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,5629.02,0.65964,0.50513,0.99656,0.82747,0.75219,0.7954,0.59916,1.08306,0.84491,1.14227,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,5697.81,0.65462,0.49633,0.9903,0.84129,0.74305,0.79632,0.59713,1.08738,0.84055,1.14474,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,5766.73,0.65339,0.49873,0.98902,0.81611,0.76135,0.79547,0.59564,1.08556,0.84179,1.14414,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,5836.23,0.65556,0.49953,0.99207,0.81344,0.7622,0.79652,0.59494,1.0877,0.84213,1.14845,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,5904.9,0.6403,0.48091,0.98865,0.82122,0.75929,0.79563,0.59449,1.08901,0.84313,1.15252,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,5974.03,0.6383,0.48302,0.98869,0.82426,0.75702,0.79511,0.59471,1.09234,0.84317,1.1576,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,6042.85,0.63587,0.4858,0.98578,0.84818,0.73716,0.79372,0.59674,1.09342,0.84465,1.15944,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,6111.85,0.63423,0.47548,0.98421,0.83782,0.75008,0.79345,0.59667,1.09368,0.84094,1.16066,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,6181.08,0.62932,0.47393,0.98208,0.83709,0.75394,0.79445,0.59594,1.09309,0.84167,1.16003,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
